Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,
139,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,23,GA1,GA4,5,m,66,,0,0,0,0,1,1,Simple,LS,,,,,,,,
140,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,23,GA1,GA4,6,,,,0,0,0,0,1,1,Simple,,,,,,,,,
141,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,23,GA1,GA4,7,,,,0,0,0,0,1,1,Simple,,,,,,,,,
142,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,23,GA1,GA4,8,m,25,,0,0,0,0,1,1,Simple,,,,,,,,,
145,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,11,m,43,,0,0,0,0,1,0,Simple,,,,,,,,,
146,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,12,m,34,,0,0,1,0,1,0,Simple,,,,,,,,,
147,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,13,,,,0,0,0,0,1,1,Simple,2LS,,,,,,,,
148,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,14,f,78,,0,0,1,0,1,0,Simple,,,,,,,,,
149,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,15,,,,0,0,1,0,1,1,Simple,,,,,,,,,
150,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,16,m,29,,0,0,1,0,1,1,Simple,,,,,,,,,
151,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,16,m,40,,0,0,1,0,1,1,Simple,,,,,,,,,
152,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,17,f,57,,0,0,1,0,1,1,Simple,,,,,,,,,
153,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,18,f,32,,0,0,1,0,1,1,Simple,2LS,,,,,,,,
155,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,20,f,36,,0,0,0,0,1,1,Simple,,,,,,,,,
156,6,8,2004,Elandry,4749.446,6509.997,4749.429,6510.078,21,GA1,GA4,20,m,58,,0,0,0,0,1,1,Simple,,,,,,,,,
