Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,,
208,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,m,12,,,,,,,,,,,,
209,21,7,2010,Dgiard,,,,,19,GA1,GA2,17,m,13,,,,,,,,,,,,
210,21,7,2010,Dgiard,,,,,19,GA1,GA2,18,m,18,,,,,,,,,,,,
211,21,7,2010,Dgiard,,,,,19,GA1,GA2,18,m,34,,,,,,,,,,,,
212,21,7,2010,Dgiard,,,,,19,GA1,GA2,18,m,45,,,,,,,,,,,,
213,21,7,2010,Dgiard,,,,,19,GA1,GA2,18,f,32,,,,,,,,,,,,
214,21,7,2010,Dgiard,,,,,19,GA1,GA2,19,m,70,,,,,,,,,,,,
215,21,7,2010,Dgiard,,,,,19,GA1,GA2,19,f,25,,,,,,,,,,,,
216,21,7,2010,Dgiard,,,,,19,GA1,GA2,19,m,45,,,,,,,,,,,,
217,21,7,2010,Dgiard,,,,,19,GA1,GA2,19,m,15,,,,,,,,,,,,
218,21,7,2010,Dgiard,,,,,19,GA1,GA2,20,m,22,,,,,,,,,,,,
219,21,7,2010,Dgiard,,,,,19,GA1,GA2,20,m,12,,,,,,,,,,,,
220,21,7,2010,Dgiard,,,,,19,GA1,GA2,20,m,31,,,,,,,,,,,,
221,21,7,2010,Dgiard,,,,,19,GA1,GA2,20,b,74,,,,,,,,,,,,
222,21,7,2010,Dgiard,,,,,19,GA1,GA2,20,m,36,,,,,,,,,,,,
223,21,7,2010,Rdoucette,,,,,22,GA1,GA3,1,m,63,,,,,,,,,,,,
224,21,7,2010,Rdoucette,,,,,22,GA1,GA3,1,f,63,,,,,,,,,,,,
225,21,7,2010,Rdoucette,,,,,22,GA1,GA3,1,m,56,,,,,,,,,,,,
226,21,7,2010,Rdoucette,,,,,22,GA1,GA3,1,m,80,,,,,,,,,,,,
227,21,7,2010,Rdoucette,,,,,22,GA1,GA3,1,f,61,,,,,,,,,,,,
228,21,7,2010,Rdoucette,,,,,22,GA1,GA3,1,m,24,,,,,,,,,,,,
229,21,7,2010,Rdoucette,,,,,22,GA1,GA3,1,f,72,,,,,,,,,,,,
230,21,7,2010,Rdoucette,,,,,22,GA1,GA3,2,m,32,,,,,,,,,,,,
231,21,7,2010,Rdoucette,,,,,22,GA1,GA3,2,m,51,,,,,,,,,,,,
232,21,7,2010,Rdoucette,,,,,22,GA1,GA3,2,m,38,,,,,,,,,,,,
233,21,7,2010,Rdoucette,,,,,22,GA1,GA3,3,m,63,,,,,,,,,,,,
234,21,7,2010,Rdoucette,,,,,22,GA1,GA3,3,m,33,,,,,,,,,,,,
235,21,7,2010,Rdoucette,,,,,22,GA1,GA3,3,f,31,,,,,,,,,,,,
236,21,7,2010,Rdoucette,,,,,22,GA1,GA3,3,m,56,,,,,,,,,,,,
237,21,7,2010,Rdoucette,,,,,22,GA1,GA3,4,m,20,,,,,,,,,,,,
238,21,7,2010,Rdoucette,,,,,22,GA1,GA3,4,f,58,,,,,,,,,,,,
239,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,f,50,,,,,,,,,,,,
240,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,f,53,,,,,,,,,,,,
241,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,f,37,,,,,,,,,,,,
242,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,m,13,,,,,,,,,,,,
243,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,f,60,,,,,,,,,,,,
244,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,m,46,,,,,,,,,,,,
245,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,m,12,,,,,,,,,,,,
246,21,7,2010,Rdoucette,,,,,22,GA1,GA3,5,m,25,,,,,,,,,,,,
247,21,7,2010,Rdoucette,,,,,22,GA1,GA3,6,f,29,,,,,,,,,,,,
248,21,7,2010,Rdoucette,,,,,22,GA1,GA3,6,f,42,,,,,,,,,,,,
249,21,7,2010,Rdoucette,,,,,22,GA1,GA3,6,f,35,,,,,,,,,,,,
250,21,7,2010,Rdoucette,,,,,22,GA1,GA3,7,m,12,,,,,,,,,,,,
251,21,7,2010,Rdoucette,,,,,22,GA1,GA3,7,m,44,,,,,,,,,,,,
252,21,7,2010,Rdoucette,,,,,22,GA1,GA3,7,m,32,,,,,,,,,,,,
253,21,7,2010,Rdoucette,,,,,22,GA1,GA3,9,m,75,,,,,,,,,,,,
254,21,7,2010,Rdoucette,,,,,22,GA1,GA3,9,m,33,,,,,,,,,,,,
255,21,7,2010,Rdoucette,,,,,22,GA1,GA3,9,m,17,,,,,,,,,,,,
256,21,7,2010,Rdoucette,,,,,22,GA1,GA3,9,m,28,,,,,,,,,,,,
257,21,7,2010,Rdoucette,,,,,22,GA1,GA3,10,f,50,,,,,,,,,,,,
