Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,Début - lat.,Début - long.,Fin - lat.,Fin - long.
147,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,2,m,44,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
148,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,3,i,,1,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
149,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,4,f,44,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
150,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,5,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
152,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,7,f,59,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
153,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,8,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
154,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,9,f,54,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
155,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,10,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
158,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,13,,,,0,1,0,0,0,1,Complexe,,vase cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
159,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,14,,,,0,1,0,0,0,1,Complexe,,vase cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
161,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,16,f,27,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
162,21,6,2000,Glandry,4750.5,6503.1,4750.5,6503.03,,AB1,4,16,i,,1,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84166667,65.05166667,47.84166667,65.0505
248,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,1,,,,0,0,1,1,0,1,Complexe,,dur algue cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
249,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,2,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.83726667,65.08731667,47.83728333,65.0886
250,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,3,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.83726667,65.08731667,47.83728333,65.0886
251,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,4,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.83726667,65.08731667,47.83728333,65.0886
253,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,6,,,,0,0,1,0,0,0,simple,,dur simple,,47.83726667,65.08731667,47.83728333,65.0886
257,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,10,f,59,,0,0,1,0,0,1,Complexe,,dur complexe,,47.83726667,65.08731667,47.83728333,65.0886
258,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,11,m,51,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
259,22,6,2000,Elandry,4750.236,6505.239,4750.237,6505.316,,AB1,7,12,,,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.83726667,65.08731667,47.83728333,65.0886
