Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
196,23,6,2014,Bcomeau,,,,,23,SH,6,8,,,,,,,,,,,,,,,
197,23,6,2014,Bcomeau,,,,,23,SH,6,9,m,66,,,,,,,,,,,,,
198,23,6,2014,Dgiard,,,,,23,SH,6,10,f,72,,,,,,,,,,,,,
199,23,6,2014,Dgiard,,,,,23,SH,6,11,f,35,,,,,,,,,,,,,
200,23,6,2014,Dgiard,,,,,23,SH,6,12,,,,,,,,,,,,,,,
201,23,6,2014,Dgiard,,,,,23,SH,6,13,,,,,,,,,,,,,,,
202,23,6,2014,Dgiard,,,,,23,SH,6,14,i,18,,,,,,,,,,,,,
203,23,6,2014,Dgiard,,,,,23,SH,6,14,m,65,,,,,,,,,,,,,
204,23,6,2014,Dgiard,,,,,23,SH,6,14,f,31,,,,,,,,,,,,,
205,23,6,2014,Dgiard,,,,,23,SH,6,14,f,49,,,,,,,,,,,,,
206,23,6,2014,Dgiard,,,,,23,SH,6,15,i,16,,,,,,,,,,,,,
207,23,6,2014,Dgiard,,,,,23,SH,6,15,m,44,,,,,,,,,,,,,
208,23,6,2014,Dgiard,,,,,23,SH,6,15,f,71,,,,,,,,,,,,,
209,23,6,2014,Dgiard,,,,,23,SH,6,15,m,41,,,,,,,,,,,,,
210,23,6,2014,Dgiard,,,,,23,SH,6,16,,,,,,,,,,,,,,,
211,23,6,2014,Dgiard,,,,,23,SH,6,17,i,18,,,,,,,,,,,,,
212,23,6,2014,Dgiard,,,,,23,SH,6,17,i,15,,,,,,,,,,,,,
213,23,6,2014,Dgiard,,,,,23,SH,6,18,i,15,,,,,,,,,,,,,
214,23,6,2014,Dgiard,,,,,23,SH,6,18,i,17,,,,,,,,,,,,,
215,23,6,2014,Dgiard,,,,,23,SH,6,19,i,16,,,,,,,,,,,,,
216,23,6,2014,Dgiard,,,,,23,SH,6,19,i,16,,,,,,,,,,,,,
217,23,6,2014,Dgiard,,,,,23,SH,6,20,m,35,,,,,,,,,,,,,
218,23,6,2014,Dgiard,,,,,23,SH,6,20,f,35,,,,,,,,,,,,,
219,23,6,2014,Dgiard,,,,,23,SH,6,20,f,43,,,,,,,,,,,,,
220,23,6,2014,Gpaulin,,,,,23,SH,6,1,f,35,,,,,,,,,,,,,
221,23,6,2014,Gpaulin,,,,,23,SH,6,2,i,13,,,,,,,,,,,,,
222,23,6,2014,Gpaulin,,,,,23,SH,6,2,i,18,,,,,,,,,,,,,
223,23,6,2014,Gpaulin,,,,,23,SH,6,2,i,16,,,,,,,,,,,,,
224,23,6,2014,Gpaulin,,,,,23,SH,6,3,m,33,,,,,,,,,,,,,
225,23,6,2014,Gpaulin,,,,,23,SH,6,4,i,18,,,,,,,,,,,,,
226,23,6,2014,Gpaulin,,,,,23,SH,6,4,i,20,,,,,,,,,,,,,
227,23,6,2014,Gpaulin,,,,,23,SH,6,5,f,35,,,,,,,,,,,,,
228,23,6,2014,Gpaulin,,,,,23,SH,6,5,i,15,,,,,,,,,,,,,
229,23,6,2014,Gpaulin,,,,,23,SH,6,6,m,62,,,,,,,,,,,,,
230,23,6,2014,Gpaulin,,,,,23,SH,6,7,m,56,,,,,,,,,,,,,
231,23,6,2014,Gpaulin,,,,,23,SH,6,8,m,71,,,,,,,,,,,,,
232,23,6,2014,Gpaulin,,,,,23,SH,6,8,i,22,,,,,,,,,,,,,
233,23,6,2014,Gpaulin,,,,,23,SH,6,8,i,16,,,,,,,,,,,,,
234,23,6,2014,Gpaulin,,,,,23,SH,6,9,m,39,,,,,,,,,,,,,
235,23,6,2014,Gpaulin,,,,,23,SH,6,9,i,18,,,,,,,,,,,,,
236,23,6,2014,Gpaulin,,,,,23,SH,6,10,f,54,,,,,,,,,,,,,
237,23,6,2014,Gpaulin,,,,,23,SH,6,10,i,15,,,,,,,,,,,,,
238,23,6,2014,Gpaulin,,,,,23,SH,6,10,m,68,,,,,,,,,,,,,
239,23,6,2014,Gpaulin,,,,,23,SH,6,11,m,52,,,,,,,,,,,,,
240,23,6,2014,Gpaulin,,,,,23,SH,6,11,m,40,,,,,,,,,,,,,
241,23,6,2014,Gpaulin,,,,,23,SH,6,11,f,64,,,,,,,,,,,,,
242,23,6,2014,Gpaulin,,,,,23,SH,6,11,b0,93,,,,,,,,,,,,,
243,23,6,2014,Gpaulin,,,,,23,SH,6,12,m,81,,,,,,,,,,,,,
244,23,6,2014,Gpaulin,,,,,23,SH,6,12,f,52,,,,,,,,,,,,,
245,23,6,2014,Gpaulin,,,,,23,SH,6,13,m,100,,,,,,,,,,,,,
246,23,6,2014,Gpaulin,,,,,23,SH,6,13,m,32,,,,,,,,,,,,,
247,23,6,2014,Gpaulin,,,,,23,SH,6,13,f,66,,,,,,,,,,,,,
248,23,6,2014,Gpaulin,,,,,23,SH,6,14,f,69,,,,,,,,,,,,,
249,23,6,2014,Gpaulin,,,,,23,SH,6,15,f,72,,,,,,,,,,,,,
250,23,6,2014,Gpaulin,,,,,23,SH,6,16,m,57,,,,,,,,,,,,,
251,23,6,2014,Gpaulin,,,,,23,SH,6,16,i,18,,,,,,,,,,,,,
252,23,6,2014,Gpaulin,,,,,23,SH,6,17,,,,,,,,,,,,,,,
253,23,6,2014,Gpaulin,,,,,23,SH,6,18,f,38,,,,,,,,,,,,,
254,23,6,2014,Gpaulin,,,,,23,SH,6,19,f,37,,,,,,,,,,,,,
255,23,6,2014,Gpaulin,,,,,23,SH,6,19,i,19,,,,,,,,,,,,,
256,23,6,2014,Gpaulin,,,,,23,SH,6,19,f,66,,,,,,,,,,,,,
257,23,6,2014,Gpaulin,,,,,23,SH,6,20,i,20,,,,,,,,,,,,,
258,23,6,2014,Gpaulin,,,,,23,SH,6,20,f,56,,,,,,,,,,,,,
259,24,6,2014,Dgiard,,,,,20,SH,8,3,m,66,,,,,,,,,,,,,
260,24,6,2014,Dgiard,,,,,20,SH,8,3,f,70,,,,,,,,,,,,,
261,24,6,2014,Dgiard,,,,,20,SH,8,3,m,82,,,,,,,,,,,,,
262,24,6,2014,Dgiard,,,,,20,SH,8,3,f,38,,,,,,,,,,,,,
263,24,6,2014,Dgiard,,,,,20,SH,8,3,m,20,,,,,,,,,,,,,
264,24,6,2014,Dgiard,,,,,20,SH,8,4,m,36,,,,,,,,,,,,,
