Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,,,,,,,
155,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,4,b,78,,0,0,1,0,0,1,1,Simple,,,,,,,,,,,
156,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,5,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
157,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,6,,,,0,0,0,0,0,0,1,Simple,,,,,,,,,,,
158,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,7,,,,0,0,0,0,0,0,1,Simple,LS,,,,,,,,,,
159,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,8,f,63,,0,0,0,0,0,0,1,Simple,,,,,,,,,,,
160,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,9,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
161,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,10,,,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
162,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,11,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
163,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,12,,,,0,0,0,0,0,1,1,Simple,EXUVIA,,,,,,,,,,
164,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,13,,,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
165,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,14,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
166,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,15,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
167,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,16,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
168,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,17,,,,0,0,1,0,0,1,1,Simple,,,,,,,,,,,
169,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,18,f,68,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
