Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,
247,25,6,2013,Bcomeau,,,,,,FH,L3-T3,20,m,76,,,,,,,,,,,,
248,25,6,2013,Mcomeau,,,,,,FH,L3-T3,1,,,,,,,,,,,,,,
249,25,6,2013,Mcomeau,,,,,,FH,L3-T3,2,,,,,,,,,,,,,,
250,25,6,2013,Mcomeau,,,,,,FH,L3-T3,3,,,,,,,,,,,,,,
251,25,6,2013,Mcomeau,,,,,,FH,L3-T3,4,,,,,,,,,,,,,,
252,25,6,2013,Mcomeau,,,,,,FH,L3-T3,5,m,72,,,,,,,,,,,,
253,25,6,2013,Mcomeau,,,,,,FH,L3-T3,6,,,,,,,,,,,,,,
254,25,6,2013,Mcomeau,,,,,,FH,L3-T3,7,b3,79,,,,,,,,,,,,
255,25,6,2013,Mcomeau,,,,,,FH,L3-T3,8,f,70,,,,,,,,,,,,
256,25,6,2013,Mcomeau,,,,,,FH,L3-T3,9,,,,,,,,,,,,,,
257,25,6,2013,Mcomeau,,,,,,FH,L3-T3,10,,,,,,,,,,,,,,
258,25,6,2013,Mcomeau,,,,,,FH,L3-T3,11,,,,,,,,,,,,,,
259,25,6,2013,Mcomeau,,,,,,FH,L3-T3,12,,,,,,,,,,,,,,
260,25,6,2013,Mcomeau,,,,,,FH,L3-T3,13,,,,,,,,,,,,,,
261,25,6,2013,Mcomeau,,,,,,FH,L3-T3,14,,,,,,,,,,,,,,
262,25,6,2013,Mcomeau,,,,,,FH,L3-T3,15,,,,,,,,,,,,,,
263,25,6,2013,Mcomeau,,,,,,FH,L3-T3,16,,,,,,,,,,,,,,
264,25,6,2013,Mcomeau,,,,,,FH,L3-T3,17,m,66,,,,,,,,,,,,
265,25,6,2013,Mcomeau,,,,,,FH,L3-T3,18,m,71,,,,,,,,,,,,
266,25,6,2013,Mcomeau,,,,,,FH,L3-T3,19,,,,,,,,,,,,,,
267,25,6,2013,Mcomeau,,,,,,FH,L3-T3,20,f,82,,,,,,,,,,,,
268,25,6,2013,Rdoucette,,,,,,FH,L1-T2,1,,,,,,,,,,,,,,
269,25,6,2013,Rdoucette,,,,,,FH,L1-T2,2,,,,,,,,,,,,,,
270,25,6,2013,Rdoucette,,,,,,FH,L1-T2,3,,,,,,,,,,,,,,
271,25,6,2013,Rdoucette,,,,,,FH,L1-T2,4,i,110,,,,,,,,,,,,
272,25,6,2013,Rdoucette,,,,,,FH,L1-T2,5,,,,,,,,,,,,,,
273,25,6,2013,Rdoucette,,,,,,FH,L1-T2,6,,,,,,,,,,,,,,
274,25,6,2013,Rdoucette,,,,,,FH,L1-T2,7,,,,,,,,,,,,,,
275,25,6,2013,Rdoucette,,,,,,FH,L1-T2,8,,,,,,,,,,,,,,
276,25,6,2013,Rdoucette,,,,,,FH,L1-T2,9,,,,,,,,,,,,,,
277,25,6,2013,Rdoucette,,,,,,FH,L1-T2,10,,,,,,,,,,,,,,
278,25,6,2013,Rdoucette,,,,,,FH,L1-T2,11,,,,,,,,,,,,,,
279,25,6,2013,Rdoucette,,,,,,FH,L1-T2,12,,,,,,,,,,,,,,
280,25,6,2013,Rdoucette,,,,,,FH,L1-T2,13,,,,,,,,,,,,,,
281,25,6,2013,Rdoucette,,,,,,FH,L1-T2,14,,,,,,,,,,,,,,
282,25,6,2013,Rdoucette,,,,,,FH,L1-T2,15,,,,,,,,,,,,,,
283,25,6,2013,Rdoucette,,,,,,FH,L1-T2,16,,,,,,,,,,,,,,
284,25,6,2013,Rdoucette,,,,,,FH,L1-T2,17,,,,,,,,,,,,,,
285,25,6,2013,Rdoucette,,,,,,FH,L1-T2,18,,,,,,,,,,,,,,
286,25,6,2013,Rdoucette,,,,,,FH,L1-T2,19,,,,,,,,,,,,,,
287,25,6,2013,Rdoucette,,,,,,FH,L1-T2,20,,,,,,,,,,,,,,
288,25,6,2013,Dgiard,,,,,,FH,L1-T2,1,,,,,,,,,,,,,,
289,25,6,2013,Dgiard,,,,,,FH,L1-T2,2,,,,,,,,,,,,,,
290,25,6,2013,Dgiard,,,,,,FH,L1-T2,3,m,74,,,,,,,,,,,,
